"stateFIPS","State","countyFIPS","County","Year","Value","Data Comment",
"12","Florida","12001","Alachua","2012","340","",
"12","Florida","12001","Alachua","2013","293","",
"12","Florida","12001","Alachua","2014","320","",
"12","Florida","12001","Alachua","2015","378","",
"12","Florida","12001","Alachua","2016","381","",
"12","Florida","12003","Baker","2012","52","",
"12","Florida","12003","Baker","2013","55","",
"12","Florida","12003","Baker","2014","55","",
"12","Florida","12003","Baker","2015","63","",
"12","Florida","12003","Baker","2016","56","",
"12","Florida","12005","Bay","2012","355","",
"12","Florida","12005","Bay","2013","380","",
"12","Florida","12005","Bay","2014","411","",
"12","Florida","12005","Bay","2015","355","",
"12","Florida","12005","Bay","2016","443","",
"12","Florida","12007","Bradford","2012","55","",
"12","Florida","12007","Bradford","2013","46","",
"12","Florida","12007","Bradford","2014","55","",
"12","Florida","12007","Bradford","2015","66","",
"12","Florida","12007","Bradford","2016","65","",
"12","Florida","12009","Brevard","2012","1,388","",
"12","Florida","12009","Brevard","2013","1,328","",
"12","Florida","12009","Brevard","2014","1,380","",
"12","Florida","12009","Brevard","2015","1,429","",
"12","Florida","12009","Brevard","2016","1,418","",
"12","Florida","12011","Broward","2012","3,339","",
"12","Florida","12011","Broward","2013","2,978","",
"12","Florida","12011","Broward","2014","3,236","",
"12","Florida","12011","Broward","2015","3,670","",
"12","Florida","12011","Broward","2016","3,591","",
"12","Florida","12013","Calhoun","2012","36","",
"12","Florida","12013","Calhoun","2013","22","",
"12","Florida","12013","Calhoun","2014","41","",
"12","Florida","12013","Calhoun","2015","32","",
"12","Florida","12013","Calhoun","2016","40","",
"12","Florida","12015","Charlotte","2012","489","",
"12","Florida","12015","Charlotte","2013","481","",
"12","Florida","12015","Charlotte","2014","520","",
"12","Florida","12015","Charlotte","2015","556","",
"12","Florida","12015","Charlotte","2016","650","",
"12","Florida","12017","Citrus","2012","481","",
"12","Florida","12017","Citrus","2013","560","",
"12","Florida","12017","Citrus","2014","584","",
"12","Florida","12017","Citrus","2015","634","",
"12","Florida","12017","Citrus","2016","784","",
"12","Florida","12019","Clay","2012","367","",
"12","Florida","12019","Clay","2013","306","",
"12","Florida","12019","Clay","2014","382","",
"12","Florida","12019","Clay","2015","376","",
"12","Florida","12019","Clay","2016","416","",
"12","Florida","12021","Collier","2012","579","",
"12","Florida","12021","Collier","2013","570","",
"12","Florida","12021","Collier","2014","587","",
"12","Florida","12021","Collier","2015","657","",
"12","Florida","12021","Collier","2016","768","",
"12","Florida","12023","Columbia","2012","174","",
"12","Florida","12023","Columbia","2013","222","",
"12","Florida","12023","Columbia","2014","218","",
"12","Florida","12023","Columbia","2015","204","",
"12","Florida","12023","Columbia","2016","233","",
"12","Florida","12027","DeSoto","2012","95","",
"12","Florida","12027","DeSoto","2013","93","",
"12","Florida","12027","DeSoto","2014","84","",
"12","Florida","12027","DeSoto","2015","103","",
"12","Florida","12027","DeSoto","2016","95","",
"12","Florida","12029","Dixie","2012","53","",
"12","Florida","12029","Dixie","2013","34","",
"12","Florida","12029","Dixie","2014","33","",
"12","Florida","12029","Dixie","2015","58","",
"12","Florida","12029","Dixie","2016","45","",
"12","Florida","12031","Duval","2012","1,458","",
"12","Florida","12031","Duval","2013","1,445","",
"12","Florida","12031","Duval","2014","1,584","",
"12","Florida","12031","Duval","2015","1,668","",
"12","Florida","12031","Duval","2016","1,672","",
"12","Florida","12033","Escambia","2012","512","",
"12","Florida","12033","Escambia","2013","497","",
"12","Florida","12033","Escambia","2014","539","",
"12","Florida","12033","Escambia","2015","566","",
"12","Florida","12033","Escambia","2016","660","",
"12","Florida","12035","Flagler","2012","225","",
"12","Florida","12035","Flagler","2013","204","",
"12","Florida","12035","Flagler","2014","270","",
"12","Florida","12035","Flagler","2015","245","",
"12","Florida","12035","Flagler","2016","221","",
"12","Florida","12037","Franklin","2012","38","",
"12","Florida","12037","Franklin","2013","32","",
"12","Florida","12037","Franklin","2014","35","",
"12","Florida","12037","Franklin","2015","32","",
"12","Florida","12037","Franklin","2016","39","",
"12","Florida","12039","Gadsden","2012","91","",
"12","Florida","12039","Gadsden","2013","93","",
"12","Florida","12039","Gadsden","2014","104","",
"12","Florida","12039","Gadsden","2015","103","",
"12","Florida","12039","Gadsden","2016","98","",
"12","Florida","12041","Gilchrist","2012","29","",
"12","Florida","12041","Gilchrist","2013","33","",
"12","Florida","12041","Gilchrist","2014","37","",
"12","Florida","12041","Gilchrist","2015","44","",
"12","Florida","12041","Gilchrist","2016","52","",
"12","Florida","12043","Glades","2012","33","",
"12","Florida","12043","Glades","2013","23","",
"12","Florida","12043","Glades","2014","30","",
"12","Florida","12043","Glades","2015","24","",
"12","Florida","12043","Glades","2016","32","",
"12","Florida","12045","Gulf","2012","45","",
"12","Florida","12045","Gulf","2013","34","",
"12","Florida","12045","Gulf","2014","33","",
"12","Florida","12045","Gulf","2015","38","",
"12","Florida","12045","Gulf","2016","37","",
"12","Florida","12047","Hamilton","2012","29","",
"12","Florida","12047","Hamilton","2013","46","",
"12","Florida","12047","Hamilton","2014","36","",
"12","Florida","12047","Hamilton","2015","29","",
"12","Florida","12047","Hamilton","2016","50","",
"12","Florida","12049","Hardee","2012","63","",
"12","Florida","12049","Hardee","2013","85","",
"12","Florida","12049","Hardee","2014","49","",
"12","Florida","12049","Hardee","2015","76","",
"12","Florida","12049","Hardee","2016","62","",
"12","Florida","12051","Hendry","2012","106","",
"12","Florida","12051","Hendry","2013","98","",
"12","Florida","12051","Hendry","2014","110","",
"12","Florida","12051","Hendry","2015","102","",
"12","Florida","12051","Hendry","2016","96","",
"12","Florida","12053","Hernando","2012","563","",
"12","Florida","12053","Hernando","2013","580","",
"12","Florida","12053","Hernando","2014","544","",
"12","Florida","12053","Hernando","2015","668","",
"12","Florida","12053","Hernando","2016","747","",
"12","Florida","12055","Highlands","2012","377","",
"12","Florida","12055","Highlands","2013","459","",
"12","Florida","12055","Highlands","2014","394","",
"12","Florida","12055","Highlands","2015","452","",
"12","Florida","12055","Highlands","2016","415","",
"12","Florida","12057","Hillsborough","2012","2,178","",
"12","Florida","12057","Hillsborough","2013","2,151","",
"12","Florida","12057","Hillsborough","2014","2,349","",
"12","Florida","12057","Hillsborough","2015","2,542","",
"12","Florida","12057","Hillsborough","2016","2,578","",
"12","Florida","12059","Holmes","2012","37","",
"12","Florida","12059","Holmes","2013","40","",
"12","Florida","12059","Holmes","2014","34","",
"12","Florida","12059","Holmes","2015","40","",
"12","Florida","12059","Holmes","2016","35","",
"12","Florida","12061","Indian River","2012","421","",
"12","Florida","12061","Indian River","2013","359","",
"12","Florida","12061","Indian River","2014","409","",
"12","Florida","12061","Indian River","2015","407","",
"12","Florida","12061","Indian River","2016","396","",
"12","Florida","12063","Jackson","2012","83","",
"12","Florida","12063","Jackson","2013","61","",
"12","Florida","12063","Jackson","2014","53","",
"12","Florida","12063","Jackson","2015","55","",
"12","Florida","12063","Jackson","2016","54","",
"12","Florida","12065","Jefferson","2012","25","",
"12","Florida","12065","Jefferson","2013","22","",
"12","Florida","12065","Jefferson","2014","32","",
"12","Florida","12065","Jefferson","2015","40","",
"12","Florida","12065","Jefferson","2016","33","",
"12","Florida","12067","Lafayette","2012","16","",
"12","Florida","12067","Lafayette","2013","10","",
"12","Florida","12067","Lafayette","2014","12","",
"12","Florida","12067","Lafayette","2015","18","",
"12","Florida","12067","Lafayette","2016","19","",
"12","Florida","12069","Lake","2012","998","",
"12","Florida","12069","Lake","2013","970","",
"12","Florida","12069","Lake","2014","1,009","",
"12","Florida","12069","Lake","2015","1,098","",
"12","Florida","12069","Lake","2016","1,141","",
"12","Florida","12071","Lee","2012","1,317","",
"12","Florida","12071","Lee","2013","1,337","",
"12","Florida","12071","Lee","2014","1,375","",
"12","Florida","12071","Lee","2015","1,487","",
"12","Florida","12071","Lee","2016","1,586","",
"12","Florida","12073","Leon","2012","339","",
"12","Florida","12073","Leon","2013","340","",
"12","Florida","12073","Leon","2014","409","",
"12","Florida","12073","Leon","2015","413","",
"12","Florida","12073","Leon","2016","430","",
"12","Florida","12075","Levy","2012","111","",
"12","Florida","12075","Levy","2013","88","",
"12","Florida","12075","Levy","2014","115","",
"12","Florida","12075","Levy","2015","110","",
"12","Florida","12075","Levy","2016","126","",
